ID	body.mass.Bov	tail.length	vertebrates	invertebrates	fruits	seeds.nuts.grains	grass	leaves.branchs.and.bark.stem	roots.and.tubers	fossorial	ground.dwelling	aboveground.dwelling	aquatic	crepuscular	diurnal	nocturnal
Abrawayaomys_ruschii	62.99	100.5	0	1	1	1	0	0	0	0	1	0	0	0	0	1
Akodon_azarae	25.27	67	0	1	0	1	0	1	0	0	1	0	0	0	1	1
Akodon_cursor	45	93	0	1	1	1	0	0	0	0	1	0	0	0	0	1
Akodon_montensis	44.1	89.5	0	1	1	1	0	0	0	0	1	0	0	0	0	1
Akodon_mystax	19	68	0	1	1	1	0	0	0	0	1	0	0	0	0	1
Akodon_paranaensis	32.4	83.1	0	1	1	1	0	0	0	0	1	0	0	0	0	1
Akodon_serrensis	28.3	84.8	0	1	1	1	0	0	0	0	1	0	0	0	1	1
Bibimys_labiosus	30	76	0	1	1	1	0	0	0	0	1	0	0	0	0	1
Blarinomys_breviceps	36.79	42.5	0	1	0	0	0	0	0	1	1	0	0	0	0	1
Brucepattersonius_griserufescens	23.7	103	0	1	1	0	0	0	0	1	1	0	0	0	0	1
Brucepattersonius_igniventris	32	96	0	1	1	0	0	0	0	1	1	0	0	0	0	1
Brucepattersonius_iheringi	40	94	0	1	1	0	0	0	0	1	1	0	0	0	0	1
Brucepattersonius_soricinus	38	83	0	1	1	0	0	0	0	1	1	0	0	0	0	1
Calomys_cerqueirai	30	80	0	0	1	1	1	0	0	0	1	0	0	0	0	1
Calomys_expulsus	39.86	72	0	0	1	1	1	0	0	0	1	0	0	0	0	1
Calomys_laucha	14	48	0	0	0	1	0	1	0	0	1	1	0	0	0	1
Calomys_tener	13.8	60.6	0	1	1	1	1	1	0	0	1	0	0	0	0	1
Caluromys_lanatus	350.33	393.5	1	1	1	0	0	0	0	0	1	1	0	0	0	1
Caluromys_philander	265	303.5	1	1	1	0	0	0	0	0	1	1	0	0	0	1
Cavia_aperea	524.38	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1
